user,followerid
skathirmani,285543043
skathirmani,900382069745786882
skathirmani,3026776586
skathirmani,3723374719
skathirmani,10284202
skathirmani,2238049122
skathirmani,983453546837397505
skathirmani,1415558298
skathirmani,856952755046449152
skathirmani,934241032090341376
skathirmani,93890718
skathirmani,70340837
skathirmani,711200581331718144
skathirmani,798856664434647042
skathirmani,135426532
skathirmani,349188133
skathirmani,1036435010
skathirmani,961130234270683136
skathirmani,952417197736914945
skathirmani,950291308563673088
skathirmani,848561672591749121
skathirmani,948441184191463424
skathirmani,2970258455
skathirmani,438524442
skathirmani,226949906
skathirmani,940433839515582465
skathirmani,895620850216337413
skathirmani,14049544
skathirmani,107664715
skathirmani,152965565
skathirmani,904775012015419392
skathirmani,887563527099097088
skathirmani,3300861942
skathirmani,917362120177590272
skathirmani,775543608111800320
skathirmani,915213034011869184
skathirmani,121527482
skathirmani,3396063214
skathirmani,1459111069
skathirmani,910551649860456448
skathirmani,904557491517669376
skathirmani,480096788
skathirmani,44800690
skathirmani,149889499
skathirmani,890569606674259969
skathirmani,12267342
skathirmani,887731387322650624
skathirmani,4921312339
skathirmani,879520916056621056
skathirmani,137352198
skathirmani,92086611
skathirmani,57362810
skathirmani,3081687060
skathirmani,754556
skathirmani,335921707
skathirmani,115962256
skathirmani,52298333
skathirmani,841225129937924096
skathirmani,1238023746
skathirmani,838655963494236161
skathirmani,17776672
skathirmani,304399481
skathirmani,768028681902039041
skathirmani,705333291772063744
skathirmani,577289927
skathirmani,374404651
skathirmani,140736841
skathirmani,17725488
skathirmani,4536235622
skathirmani,622519917
skathirmani,3038490715
skathirmani,2430368510
skathirmani,762946310798442496
skathirmani,759606437538660352
skathirmani,756552196737466369
skathirmani,953099671
skathirmani,770814235882520576
skathirmani,15307415
skathirmani,433174200
skathirmani,70069519
skathirmani,2293826726
skathirmani,232807260
skathirmani,296656578
skathirmani,505607844
skathirmani,108200462
skathirmani,7104402
skathirmani,752515382255099904
skathirmani,707143512618373120
skathirmani,701363163405549568
skathirmani,214354954
skathirmani,887341123
skathirmani,3438788368
skathirmani,73407262
skathirmani,1104347432
skathirmani,2215577376
skathirmani,103323813
skathirmani,705765217
skathirmani,634432812
skathirmani,702419594636599296
skathirmani,4748556432
skathirmani,14455855
skathirmani,1649847709
skathirmani,4285275562
skathirmani,1964598974
skathirmani,412848473
skathirmani,137702493
skathirmani,4595675947
skathirmani,4538835672
skathirmani,495880560
skathirmani,4047734952
skathirmani,4001978848
skathirmani,3900868258
skathirmani,15955870
skathirmani,3911161099
skathirmani,146283174
skathirmani,362590290
skathirmani,3780062118
skathirmani,3770510412
skathirmani,3855668427
skathirmani,1603689276
skathirmani,1644151322
skathirmani,104066814
skathirmani,3312326870
skathirmani,292374517
skathirmani,398639190
skathirmani,90008212
skathirmani,589394637
skathirmani,308226281
skathirmani,57282057
skathirmani,3250944115
skathirmani,3232514983
skathirmani,3229481167
skathirmani,527524552
skathirmani,92992992
skathirmani,370886219
skathirmani,3154322282
skathirmani,3154306586
skathirmani,101478565
skathirmani,2916747115
skathirmani,2287876422
skathirmani,135400163
skathirmani,879558146
skathirmani,196180495
skathirmani,3018070566
skathirmani,2996890687
skathirmani,2984365634
skathirmani,592037886
skathirmani,328625058
skathirmani,2909869706
skathirmani,2615808644
skathirmani,2506441897
skathirmani,2880406154
skathirmani,2785864740
skathirmani,100083700
skathirmani,2847720296
skathirmani,41309463
skathirmani,1234136874
skathirmani,159472641
skathirmani,8247372
skathirmani,1373946865
skathirmani,2595044396
skathirmani,90154347
skathirmani,1486009790
skathirmani,2512022352
skathirmani,295149189
skathirmani,2238979134
skathirmani,2371743270
skathirmani,1962172567
skathirmani,17074490
skathirmani,35927341
skathirmani,330487395
skathirmani,172175738
skathirmani,278364974
skathirmani,320153765
skathirmani,279409266
skathirmani,285428977
skathirmani,31170052
skathirmani,44682474
285543043,2679708920
285543043,1015014647143911424
285543043,541187042
285543043,318334885
285543043,16450600
285543043,40928829
285543043,540719146
285543043,974131838053699584
285543043,971065234424324096
285543043,61859064
285543043,707852316947443712
285543043,16553194
285543043,1244872572
285543043,206249054
285543043,70802518
285543043,243928657
285543043,1523561162
285543043,874978087737413632
285543043,927578386708414465
285543043,92104250
285543043,31076702
285543043,5830172
285543043,23074651
285543043,20516440
285543043,37812827
285543043,44697348
285543043,2736477057
285543043,86246470
285543043,860085312
285543043,3450293236
285543043,2382027032
285543043,2176243680
285543043,1641267608
285543043,1006479966203043841
285543043,828917506379247616
285543043,58830548
285543043,81192122
285543043,3168634035
285543043,1635994286
285543043,2386571724
285543043,223496336
285543043,317836569
285543043,1686179899
285543043,989210605071556608
285543043,933307272708673536
285543043,859640631295172610
285543043,163581001
285543043,1945222339
285543043,1007115400172077058
285543043,191598808
285543043,1277099576
285543043,995369339975974912
285543043,840284419470561285
285543043,1004981824911757312
285543043,311322242
285543043,930383845802827777
285543043,1222201874
285543043,20617957
285543043,477265073
285543043,72275355
285543043,739256862453833728
285543043,1060554379
285543043,80573555
285543043,211895658
285543043,877158630415409152
285543043,960578983581638657
285543043,456645655
285543043,709282402254737408
285543043,894513237206552577
285543043,860520973472235520
285543043,2162557082
285543043,294159237
285543043,2939623036
285543043,868936024398934016
285543043,127879574
285543043,853915713224015872
285543043,16107473
285543043,190268283
285543043,2592754135
285543043,997189126335139840
285543043,856214647
285543043,151194493
285543043,864387458791870465
285543043,984799319470592001
285543043,983397635011772418
285543043,1363294176
285543043,1007559859
285543043,725196271384969217
285543043,910342087517855745
285543043,2840229539
285543043,4745804835
285543043,957291822996389893
285543043,2319105997
285543043,1001777870220464129
285543043,2378512739
285543043,91369485
285543043,956160101144023040
285543043,257882430
285543043,517859627
285543043,913025628617809921
285543043,948834207005945856
285543043,2368442454
285543043,15672716
285543043,16585184
285543043,431828666
285543043,2975432697
285543043,726445923270692866
285543043,142418526
285543043,352254577
285543043,829114039
285543043,877536932020064258
285543043,933246981832556545
285543043,990029718182383616
285543043,419021215
285543043,951278052
285543043,68443364
285543043,68212197
285543043,2388217408
285543043,990685590336221184
285543043,854810303866912768
285543043,75837850
285543043,1004637732960735234
285543043,2435046140
285543043,872022867990511616
285543043,525005120
285543043,997206312512557058
285543043,68138103
285543043,978323131050942465
285543043,981653664786997248
285543043,374077316
285543043,330933595
285543043,585264869
285543043,796719533591511040
285543043,602843046
285543043,300242761
285543043,93833074
285543043,988707952935800833
285543043,823550538583252992
285543043,135084986
285543043,737333614518620161
285543043,4906613818
285543043,900813064358035456
285543043,281073728
285543043,881891669095964672
285543043,7937582
285543043,16936881
285543043,938589119244009472
285543043,810268476002762753
285543043,761514548885094400
285543043,50285437
285543043,917406292955860992
285543043,837682440999211008
285543043,991270356970242050
285543043,988097740738510848
285543043,3108087959
285543043,21548588
285543043,1157119946
285543043,986479875216236544
285543043,722382254970957824
285543043,991209156278439936
285543043,299558731
285543043,539514251
285543043,969037134316343296
285543043,992328024581386240
285543043,355246429
285543043,786556215778119682
285543043,3060836348
285543043,582945211
285543043,244979748
285543043,712320409
285543043,950410776967286784
285543043,877159341836689408
285543043,103875402
285543043,953725180802723840
285543043,429806554
285543043,2667390078
285543043,390130325
285543043,805091235451039744
285543043,3145453651
285543043,824016905807613952
285543043,949297361272164353
285543043,23858432
285543043,146614001
285543043,887710443183190017
285543043,957910841269063680
285543043,772190126483079169
285543043,187156507
285543043,969211235114868736
285543043,462834051
285543043,983363674307006464
285543043,912548659429961728
285543043,172256611
285543043,163856408
285543043,20025830
285543043,213438356
285543043,3045102051
285543043,889417449522827264
285543043,956083105781006336
285543043,1282780201
285543043,4556755576
285543043,2300503944
285543043,892383804660342784
285543043,945638311
285543043,983930771403452421
285543043,945176480673173504
285543043,963880435859279872
285543043,229002280
285543043,892782273178869760
285543043,973130623425695744
285543043,738391937330360320
285543043,958671391758438403
285543043,951586553041702918
285543043,820333278821498881
285543043,27222665
285543043,993988650571517952
285543043,993646727386169346
285543043,992908913925210113
285543043,3197707635
285543043,818541764529287168
285543043,775075884327985154
285543043,172461978
285543043,268711446
285543043,945843440893378560
285543043,614670491
285543043,452058560
285543043,1404540397
285543043,50587359
285543043,861448190276493312
285543043,844937174105706496
285543043,3092428631
285543043,758300868290678784
285543043,21473532
285543043,946732138963046402
285543043,19048952
285543043,786208044237463553
285543043,245501450
285543043,73530146
285543043,264174479
285543043,785339486393798657
285543043,14961682
285543043,14146817
285543043,63956002
285543043,1880734129
285543043,884507989851418624
285543043,154528326
285543043,988871191929720833
285543043,73383333
285543043,890828516
285543043,311166978
285543043,3171973059
285543043,3736048279
285543043,812909306
285543043,119468860
285543043,797816052
285543043,433213877
285543043,870029415660388352
285543043,313684375
285543043,1051306843
285543043,844154158894727169
285543043,928625662675554306
285543043,580248140
285543043,491589615
285543043,65869800
285543043,926951053282574337
285543043,17871282
285543043,2896230863
285543043,30457045
285543043,29579048
285543043,55887553
285543043,809531363091251204
285543043,7618742
285543043,56026757
285543043,19580650
285543043,15123818
285543043,2867856465
285543043,769913335403966464
285543043,3266833710
285543043,879718542366715904
285543043,865345441684221952
285543043,4703825723
285543043,983239151280709632
285543043,1550814752
285543043,2789705176
285543043,130516991
285543043,825898445730873345
